Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"QCL","Crops and livestock products","024","Angola","5510","Production","01640","Cocoa beans","2023","2023","t","458.24","E","Estimated value",""
"QCL","Crops and livestock products","084","Belize","5510","Production","01640","Cocoa beans","2023","2023","t","233","A","Official figure",""
"QCL","Crops and livestock products","204","Benin","5510","Production","01640","Cocoa beans","2023","2023","t","","M","Missing value; data cannot exist",""
"QCL","Crops and livestock products","068","Bolivia (Plurinational State of)","5510","Production","01640","Cocoa beans","2023","2023","t","5971.18","A","Official figure",""
"QCL","Crops and livestock products","076","Brazil","5510","Production","01640","Cocoa beans","2023","2023","t","296145","A","Official figure",""
"QCL","Crops and livestock products","120","Cameroon","5510","Production","01640","Cocoa beans","2023","2023","t","295819.38","I","Value imputed by a receiving agency",""
"QCL","Crops and livestock products","140","Central African Republic","5510","Production","01640","Cocoa beans","2023","2023","t","134.68","E","Estimated value",""
"QCL","Crops and livestock products","159","China","5510","Production","01640","Cocoa beans","2023","2023","t","","M","Missing value; data cannot exist",""
"QCL","Crops and livestock products","158","China, Taiwan Province of","5510","Production","01640","Cocoa beans","2023","2023","t","","M","Missing value; data cannot exist",""
"QCL","Crops and livestock products","170","Colombia","5510","Production","01640","Cocoa beans","2023","2023","t","59831","A","Official figure",""
"QCL","Crops and livestock products","174","Comoros","5510","Production","01640","Cocoa beans","2023","2023","t","43.12","E","Estimated value",""
"QCL","Crops and livestock products","178","Congo","5510","Production","01640","Cocoa beans","2023","2023","t","10000","X","Figure from external organization","Unofficial figure"
"QCL","Crops and livestock products","188","Costa Rica","5510","Production","01640","Cocoa beans","2023","2023","t","800","X","Figure from external organization","Unofficial figure"
"QCL","Crops and livestock products","384","Côte d'Ivoire","5510","Production","01640","Cocoa beans","2023","2023","t","2377442.05","I","Value imputed by a receiving agency",""
"QCL","Crops and livestock products","192","Cuba","5510","Production","01640","Cocoa beans","2023","2023","t","1387.54","I","Value imputed by a receiving agency",""
"QCL","Crops and livestock products","180","Democratic Republic of the Congo","5510","Production","01640","Cocoa beans","2023","2023","t","35000","X","Figure from external organization","Unofficial figure"
"QCL","Crops and livestock products","212","Dominica","5510","Production","01640","Cocoa beans","2023","2023","t","1000","X","Figure from external organization","Unofficial figure"
"QCL","Crops and livestock products","214","Dominican Republic","5510","Production","01640","Cocoa beans","2023","2023","t","65930.13","A","Official figure",""
"QCL","Crops and livestock products","218","Ecuador","5510","Production","01640","Cocoa beans","2023","2023","t","375719.14","A","Official figure",""
"QCL","Crops and livestock products","222","El Salvador","5510","Production","01640","Cocoa beans","2023","2023","t","362.8","E","Estimated value",""
"QCL","Crops and livestock products","226","Equatorial Guinea","5510","Production","01640","Cocoa beans","2023","2023","t","1000","X","Figure from external organization","Unofficial figure"
"QCL","Crops and livestock products","242","Fiji","5510","Production","01640","Cocoa beans","2023","2023","t","118","A","Official figure",""
"QCL","Crops and livestock products","266","Gabon","5510","Production","01640","Cocoa beans","2023","2023","t","103.56","I","Value imputed by a receiving agency",""
"QCL","Crops and livestock products","288","Ghana","5510","Production","01640","Cocoa beans","2023","2023","t","653700","X","Figure from external organization","Unofficial figure"
"QCL","Crops and livestock products","308","Grenada","5510","Production","01640","Cocoa beans","2023","2023","t","364","A","Official figure",""
"QCL","Crops and livestock products","320","Guatemala","5510","Production","01640","Cocoa beans","2023","2023","t","11652.4","E","Estimated value",""
"QCL","Crops and livestock products","324","Guinea","5510","Production","01640","Cocoa beans","2023","2023","t","23164.05","I","Value imputed by a receiving agency",""
"QCL","Crops and livestock products","328","Guyana","5510","Production","01640","Cocoa beans","2023","2023","t","484.1","E","Estimated value",""
"QCL","Crops and livestock products","332","Haiti","5510","Production","01640","Cocoa beans","2023","2023","t","2500","X","Figure from external organization","Unofficial figure"
