Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"SCL","Supply Utilization Accounts (2010-)","032","Argentina","5510","Production","F0666","Chocolate products nes","2019","2019","t","23314.09","I","Value 
imputed by a
receiving 
agency",""
"SCL","Supply Utilization Accounts (2010-)","032","Argentina","5510","Production","F0666","Chocolate products nes","2020","2020","t","25261.34","I","Value 
imputed by a
receiving 
agency",""
"SCL","Supply Utilization Accounts (2010-)","032","Argentina","5510","Production","F0666","Chocolate products nes","2021","2021","t","29401.17","I","Value 
imputed by a
receiving 
agency",""
"SCL","Supply Utilization Accounts (2010-)","032","Argentina","5510","Production","F0666","Chocolate products nes","2022","2022","t","27442.4","I","Value 
imputed by a
receiving 
agency",""
"SCL","Supply Utilization Accounts (2010-)","036","Australia","5510","Production","F0666","Chocolate products nes","2019","2019","t","2713.01","I","Value 
imputed by a
receiving 
agency",""
"SCL","Supply Utilization Accounts (2010-)","036","Australia","5510","Production","F0666","Chocolate products nes","2020","2020","t","2660.94","I","Value 
imputed by a
receiving 
agency",""
"SCL","Supply Utilization Accounts (2010-)","036","Australia","5510","Production","F0666","Chocolate products nes","2021","2021","t","2721.15","I","Value 
imputed by a
receiving 
agency",""
"SCL","Supply Utilization Accounts (2010-)","036","Australia","5510","Production","F0666","Chocolate products nes","2022","2022","t","2969.02","I","Value 
imputed by a
receiving 
agency",""
"SCL","Supply Utilization Accounts (2010-)","040","Austria","5510","Production","F0666","Chocolate products nes","2019","2019","t","29705.54","I","Value 
imputed by a
receiving 
agency",""
"SCL","Supply Utilization Accounts (2010-)","040","Austria","5510","Production","F0666","Chocolate products nes","2020","2020","t","26103.9","I","Value 
imputed by a
receiving 
agency",""
"SCL","Supply Utilization Accounts (2010-)","040","Austria","5510","Production","F0666","Chocolate products nes","2021","2021","t","28200","I","Value 
imputed by a
receiving 
agency",""
"SCL","Supply Utilization Accounts (2010-)","040","Austria","5510","Production","F0666","Chocolate products nes","2022","2022","t","32900","I","Value 
imputed by a
receiving 
agency",""
"SCL","Supply Utilization Accounts (2010-)","056","Belgium","5510","Production","F0666","Chocolate products nes","2019","2019","t","417000","E","Estimated value",""
"SCL","Supply Utilization Accounts (2010-)","056","Belgium","5510","Production","F0666","Chocolate products nes","2020","2020","t","391926.56","I","Value 
imputed by a
receiving 
agency",""
"SCL","Supply Utilization Accounts (2010-)","056","Belgium","5510","Production","F0666","Chocolate products nes","2021","2021","t","470000","E","Estimated value",""
"SCL","Supply Utilization Accounts (2010-)","056","Belgium","5510","Production","F0666","Chocolate products nes","2022","2022","t","360000","E","Estimated value",""
"SCL","Supply Utilization Accounts (2010-)","076","Brazil","5510","Production","F0666","Chocolate products nes","2019","2019","t","15950.8","I","Value 
imputed by a
receiving 
agency",""
"SCL","Supply Utilization Accounts (2010-)","076","Brazil","5510","Production","F0666","Chocolate products nes","2020","2020","t","17867.23","I","Value 
imputed by a
receiving 
agency",""
"SCL","Supply Utilization Accounts (2010-)","076","Brazil","5510","Production","F0666","Chocolate products nes","2021","2021","t","19585.03","I","Value 
imputed by a
receiving 
agency",""
"SCL","Supply Utilization Accounts (2010-)","076","Brazil","5510","Production","F0666","Chocolate products nes","2022","2022","t","15290.52","I","Value 
imputed by a
receiving 
agency",""
"SCL","Supply Utilization Accounts (2010-)","100","Bulgaria","5510","Production","F0666","Chocolate products nes","2019","2019","t","7050","I","Value 
imputed by a
receiving 
agency",""
