Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"TCL","Crops and livestock products","004","Afghanistan","5610","Import quantity","01640","Cocoa beans","2020","2020","t","0.3","X","Figure from external organization","Estimated data using trading partners database"
"TCL","Crops and livestock products","004","Afghanistan","5610","Import quantity","01640","Cocoa beans","2021","2021","t","0.01","X","Figure from external organization","Estimated data using trading partners database"
"TCL","Crops and livestock products","004","Afghanistan","5910","Export quantity","01640","Cocoa beans","2022","2022","t","0.01","X","Figure from external organization","Estimated data using trading partners database"
"TCL","Crops and livestock products","004","Afghanistan","5610","Import quantity","01640","Cocoa beans","2023","2023","t","0.1","X","Figure from external organization","Estimated data using trading partners database"
"TCL","Crops and livestock products","004","Afghanistan","5610","Import quantity","23620","Cocoa butter, fat and oil","2020","2020","t","0.2","X","Figure from external organization","Estimated data using trading partners database"
"TCL","Crops and livestock products","004","Afghanistan","5910","Export quantity","23620","Cocoa butter, fat and oil","2023","2023","t","16.64","X","Figure from external organization","Estimated data using trading partners database"
"TCL","Crops and livestock products","004","Afghanistan","5610","Import quantity","F0665","Cocoa powder and cake","2019","2019","t","31.76","A","Official figure",""
"TCL","Crops and livestock products","004","Afghanistan","5610","Import quantity","F0665","Cocoa powder and cake","2020","2020","t","106.62","X","Figure from external organization","Estimated data using trading partners database"
"TCL","Crops and livestock products","004","Afghanistan","5910","Export quantity","F0665","Cocoa powder and cake","2020","2020","t","0.02","X","Figure from external organization","Estimated data using trading partners database"
"TCL","Crops and livestock products","004","Afghanistan","5610","Import quantity","F0665","Cocoa powder and cake","2021","2021","t","372.98","X","Figure from external organization","Estimated data using trading partners database"
"TCL","Crops and livestock products","004","Afghanistan","5910","Export quantity","F0665","Cocoa powder and cake","2021","2021","t","0.02","X","Figure from external organization","Estimated data using trading partners database"
"TCL","Crops and livestock products","004","Afghanistan","5610","Import quantity","F0665","Cocoa powder and cake","2022","2022","t","450.78","X","Figure from external organization","Estimated data using trading partners database"
"TCL","Crops and livestock products","004","Afghanistan","5610","Import quantity","F0665","Cocoa powder and cake","2023","2023","t","275.63","X","Figure from external organization","Estimated data using trading partners database"
"TCL","Crops and livestock products","008","Albania","5610","Import quantity","01640","Cocoa beans","2023","2023","t","0.02","X","Figure from external organization","Estimated data using trading partners database"
"TCL","Crops and livestock products","008","Albania","5610","Import quantity","23620","Cocoa butter, fat and oil","2019","2019","t","0.34","A","Official figure",""
"TCL","Crops and livestock products","008","Albania","5610","Import quantity","23620","Cocoa butter, fat and oil","2020","2020","t","0.08","A","Official figure",""
"TCL","Crops and livestock products","008","Albania","5610","Import quantity","23620","Cocoa butter, fat and oil","2021","2021","t","0.75","A","Official figure",""
"TCL","Crops and livestock products","008","Albania","5610","Import quantity","23620","Cocoa butter, fat and oil","2022","2022","t","44.28","X","Figure from external organization","Estimated data using trading partners database"
"TCL","Crops and livestock products","008","Albania","5610","Import quantity","23620","Cocoa butter, fat and oil","2023","2023","t","46.32","X","Figure from external organization","Estimated data using trading partners database"
"TCL","Crops and livestock products","008","Albania","5610","Import quantity","F0665","Cocoa powder and cake","2019","2019","t","69","A","Official figure",""
"TCL","Crops and livestock products","008","Albania","5610","Import quantity","F0665","Cocoa powder and cake","2020","2020","t","159.15","A","Official figure",""
"TCL","Crops and livestock products","008","Albania","5610","Import quantity","F0665","Cocoa powder and cake","2021","2021","t","214.75","A","Official figure",""
"TCL","Crops and livestock products","008","Albania","5610","Import quantity","F0665","Cocoa powder and cake","2022","2022","t","357.4","X","Figure from external organization","Estimated data using trading partners database"
"TCL","Crops and livestock products","008","Albania","5910","Export quantity","F0665","Cocoa powder and cake","2022","2022","t","0.01","X","Figure from external organization","Estimated data using trading partners database"
"TCL","Crops and livestock products","008","Albania","5610","Import quantity","F0665","Cocoa powder and cake","2023","2023","t","367.19","X","Figure from external organization","Estimated data using trading partners database"
"TCL","Crops and livestock products","008","Albania","5910","Export quantity","F0665","Cocoa powder and cake","2023","2023","t","0","X","Figure from external organization","Estimated data using trading partners database"
"TCL","Crops and livestock products","012","Algeria","5610","Import quantity","01640","Cocoa beans","2019","2019","t","1501.85","X","Figure from external organization","Estimated data using trading partners database"
"TCL","Crops and livestock products","012","Algeria","5610","Import quantity","01640","Cocoa beans","2020","2020","t","1302.17","X","Figure from external organization","Estimated data using trading partners database"
"TCL","Crops and livestock products","012","Algeria","5610","Import quantity","01640","Cocoa beans","2021","2021","t","1602.75","X","Figure from external organization","Estimated data using trading partners database"
"TCL","Crops and livestock products","012","Algeria","5910","Export quantity","01640","Cocoa beans","2021","2021","t","0.03","X","Figure from external organization","Estimated data using trading partners database"
"TCL","Crops and livestock products","012","Algeria","5610","Import quantity","01640","Cocoa beans","2022","2022","t","2260.44","X","Figure from external organization","Estimated data using trading partners database"
"TCL","Crops and livestock products","012","Algeria","5910","Export quantity","01640","Cocoa beans","2022","2022","t","0.02","X","Figure from external organization","Estimated data using trading partners database"
"TCL","Crops and livestock products","012","Algeria","5610","Import quantity","01640","Cocoa beans","2023","2023","t","2592.57","X","Figure from external organization","Estimated data using trading partners database"
"TCL","Crops and livestock products","012","Algeria","5910","Export quantity","01640","Cocoa beans","2023","2023","t","0.01","X","Figure from external organization","Estimated data using trading partners database"
"TCL","Crops and livestock products","012","Algeria","5610","Import quantity","23620","Cocoa butter, fat and oil","2019","2019","t","1144.17","X","Figure from external organization","Estimated data using trading partners database"
"TCL","Crops and livestock products","012","Algeria","5910","Export quantity","23620","Cocoa butter, fat and oil","2019","2019","t","2281.18","X","Figure from external organization","Estimated data using trading partners database"
"TCL","Crops and livestock products","012","Algeria","5610","Import quantity","23620","Cocoa butter, fat and oil","2020","2020","t","525.32","X","Figure from external organization","Estimated data using trading partners database"
"TCL","Crops and livestock products","012","Algeria","5910","Export quantity","23620","Cocoa butter, fat and oil","2020","2020","t","1160.75","X","Figure from external organization","Estimated data using trading partners database"
"TCL","Crops and livestock products","012","Algeria","5610","Import quantity","23620","Cocoa butter, fat and oil","2021","2021","t","1914.7","X","Figure from external organization","Estimated data using trading partners database"
"TCL","Crops and livestock products","012","Algeria","5910","Export quantity","23620","Cocoa butter, fat and oil","2021","2021","t","1306.07","X","Figure from external organization","Estimated data using trading partners database"
"TCL","Crops and livestock products","012","Algeria","5610","Import quantity","23620","Cocoa butter, fat and oil","2022","2022","t","2756.53","X","Figure from external organization","Estimated data using trading partners database"
"TCL","Crops and livestock products","012","Algeria","5910","Export quantity","23620","Cocoa butter, fat and oil","2022","2022","t","826.03","X","Figure from external organization","Estimated data using trading partners database"
"TCL","Crops and livestock products","012","Algeria","5610","Import quantity","23620","Cocoa butter, fat and oil","2023","2023","t","4488.67","X","Figure from external organization","Estimated data using trading partners database"
